material,exp_label,rA,rB,rX,nA,nB,nX,chiA,chiB,chiX,rB_rX_ratio,rA_rX_ratio,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,chi_AX_ratio,chi_BX_ratio,log_rA_rB_ratio,HOMO_A,HOMO_B,HOMO_X,LUMO_A,LUMO_B,LUMO_X,EA_A,EA_B,EA_X,IP_A,IP_B,IP_X,rS_A,rS_B,rS_X,rP_A,rP_B,rP_X,rD_A,rD_B,rD_X,rA_rB_ratio,t_sisso,t,tau,t_jess,p_t_sisso
TlFeI3,0.0,169.89,78.4,219.49,1.0,2.0,-1.0,1.62,1.83,2.66,0.3545454545454545,0.7727272727272726,-1.04,-0.8300000000000001,-1.82,-1.61,0.5714285714285714,0.515527950310559,0.7790896103606701,-2.36925177,-4.431945739999999,-7.083940510000032,-2.3692518513323906,-0.812293287884647,0.2908709899851069,-0.1395649868243635,-1.3037382507616442,-3.4344351648747526,5.166986943295928,7.470426106445764,11.131355946143175,109.74,133.01,90.24,154.46,193.65,107.49,59.04,38.15,41.190000000000005,2.1669642857142852,0.5609175376869113,0.9242805465728383,4.601748410738276,1.0245037383698932,0.00802254792798652
KCaCl3,1.0,164.19,99.98,180.61,1.0,2.0,-1.0,0.82,1.0,3.16,0.5524861878453039,0.9060773480662982,-2.3400000000000003,-2.16,-2.62,-2.44,0.8931297709923665,0.8852459016393444,0.494696241836107,-2.318921259999999,-3.766160950000002,-8.594666479999974,-0.7664318763103054,-1.9458476867976409,0.0197235606770763,-0.6361622968393374,0.1499954621481116,-3.935229981089612,4.31357484707873,6.309260154585895,13.876021229339663,220.49,179.84,67.85000000000001,302.81,231.02,75.67,207.8,67.61,224.95,1.6422284456891378,0.9044507599081697,0.8689227424633459,4.117044459552963,0.8766612401697623,0.6220137489770231
KCaI3,0.0,164.19,99.98,219.49,1.0,2.0,-1.0,0.82,1.0,2.66,0.4545454545454545,0.7454545454545454,-1.8400000000000003,-1.66,-2.62,-2.44,0.7022900763358779,0.680327868852459,0.494696241836107,-2.318921259999999,-3.766160950000002,-7.083940510000032,-0.7664318763103054,-1.9458476867976409,0.2908709899851069,-0.6361622968393374,0.1499954621481116,-3.4344351648747526,4.31357484707873,6.309260154585895,11.131355946143175,220.49,179.84,90.24,302.81,231.02,107.49,207.8,67.61,41.190000000000005,1.6422284456891378,0.7811867139064079,0.8492297029862916,4.505922235108073,0.8766443655217638,0.1981852107868464
TlZnCl3,0.0,169.89,74.34,180.61,1.0,2.0,-1.0,1.62,1.65,3.16,0.4088397790055249,0.9392265193370164,-1.54,-1.5100000000000002,-1.82,-1.79,0.8461538461538461,0.8435754189944136,0.831733343846092,-2.36925177,-5.977182470000003,-8.594666479999974,-2.3692518513323906,-1.1074028380152596,0.0197235606770763,-0.1395649868243635,0.922398193658712,-3.935229981089612,5.166986943295928,9.889346728482574,13.876021229339663,109.74,110.68,67.85000000000001,154.46,166.61,75.67,59.04,29.97,224.95,2.2853107344632764,0.7394115770450609,0.9721182628489603,4.194552604759856,0.9750895871368328,0.11448574492001783
BaUSe3,1.0,161.04,88.69,198.14,2.0,4.0,-2.0,0.89,1.38,2.55,0.4494949494949495,0.8131313131313131,-1.6599999999999997,-1.17,-2.55,-2.06,0.6509803921568627,0.5679611650485437,0.5927679952523233,-3.22934977,-1.99527278,-6.510488250000024,-2.0224315294266337,-1.9952728484943232,-0.2111875472497096,0.1815487042226235,0.546861732757815,-2.730814399751447,5.363406047114364,5.590257855882314,10.84576444731508,219.67,187.98,79.97,266.14000000000004,241.76,95.78,131.01,131.23,23.97,1.8157627691960763,0.7981485495255618,0.8854696281239056,4.322072423315156,1.014899259370708,0.243214134129227
RbMgCl3,0.0,172.2,72.45,180.61,1.0,2.0,-1.0,0.82,1.31,3.16,0.3977900552486187,0.9502762430939226,-2.3400000000000003,-1.85,-2.62,-2.13,0.8931297709923665,0.8685446009389672,0.8708283577973978,-2.23129531,-4.705333049999998,-8.594666479999974,-0.6626547127478113,-1.3065628048520797,0.0197235606770763,-0.5654554674099543,0.500356888176296,-3.935229981089612,4.153592876586776,7.971349299642951,13.876021229339663,231.42,135.17999999999998,67.85000000000001,324.0,191.16,75.67,240.1,561.2099999999999,224.95,2.3768115942028984,0.7112394954631349,0.9858332881231117,4.238238864544149,1.013738451550075,0.07703053131139542
NaCrF3,1.0,139.25,80.17,133.15,1.0,2.0,-1.0,0.93,1.66,3.98,0.6015037593984962,1.045112781954887,-3.05,-2.3200000000000003,-2.51,-1.78,1.2151394422310755,1.303370786516854,0.5524472984568101,-2.7445312200000007,-4.38888821,-11.111416699999976,-2.7445313142150973,-4.388888360663078,1.136681619020348,-0.7570217149871556,-1.078476583023451,-4.336301480858267,5.147636303709317,7.228119012129165,19.391595983680425,175.88,142.45999999999998,40.44,260.21000000000004,198.93,37.4,845.6800000000001,43.95,143.19,1.7369340152176624,1.0423770581927339,0.9029456796908554,3.8067728568540122,0.8418210082156982,0.9308004234427818
NaCrCl3,0.0,139.25,80.17,180.61,1.0,2.0,-1.0,0.93,1.66,3.16,0.4419889502762431,0.7679558011049723,-2.23,-1.5000000000000002,-2.51,-1.78,0.8884462151394423,0.8426966292134832,0.5524472984568101,-2.7445312200000007,-4.38888821,-8.594666479999974,-2.7445313142150973,-4.388888360663078,0.0197235606770763,-0.7570217149871556,-1.078476583023451,-3.935229981089612,5.147636303709317,7.228119012129165,13.876021229339663,175.88,142.45999999999998,67.85000000000001,260.21000000000004,198.93,75.67,845.6800000000001,43.95,224.95,1.7369340152176624,0.776805225502924,0.8673047962347317,4.398764873817964,0.914390347456612,0.18761860776301295
NaCdCl3,0.0,139.25,95.14,180.61,1.0,2.0,-1.0,0.93,1.69,3.16,0.5248618784530387,0.7679558011049723,-2.23,-1.4700000000000002,-2.51,-1.75,0.8884462151394423,0.8400000000000001,0.3805970415301508,-2.7445312200000007,-5.657022910000005,-8.594666479999974,-2.7445313142150973,-1.1571185497219154,0.0197235606770763,-0.7570217149871556,0.9482623915387752,-3.935229981089612,5.147636303709317,9.27193000127873,13.876021229339663,175.88,123.55,67.85000000000001,260.21000000000004,179.66,75.67,845.6800000000001,51.92,224.95,1.4636325415177633,0.7422798972910267,0.8202202892550982,4.740708334575925,0.8675257280586555,0.11907944624524895
NaVF3,1.0,139.25,79.35,133.15,1.0,2.0,-1.0,0.93,1.63,3.98,0.5939849624060151,1.045112781954887,-3.05,-2.35,-2.51,-1.81,1.2151394422310755,1.298342541436464,0.5650260806636702,-2.7445312200000007,-4.348428499999998,-11.111416699999976,-2.7445313142150973,-4.348428649274164,1.136681619020348,-0.7570217149871556,-0.78074486180114,-4.336301480858267,5.147636303709317,7.169663669121636,19.391595983680425,175.88,148.18,40.44,260.21000000000004,205.66,37.4,845.6800000000001,47.59,143.19,1.754883427851292,1.0448305795591581,0.9064299877254272,3.798342818322534,0.8483422475609427,0.9331684241688635
BaVSe3,0.0,161.04,58.44,198.14,2.0,4.0,-2.0,0.89,1.63,2.55,0.2929292929292929,0.8131313131313131,-1.6599999999999997,-0.92,-2.55,-1.81,0.6509803921568627,0.5082872928176796,1.0209613544380438,-3.22934977,-4.348428499999998,-6.510488250000024,-2.0224315294266337,-4.348428649274164,-0.2111875472497096,0.1815487042226235,-0.78074486180114,-2.730814399751447,5.363406047114364,7.169663669121636,10.84576444731508,219.67,148.18,79.97,266.14000000000004,205.66,95.78,131.01,47.59,23.97,2.75564681724846,0.29764142154153816,0.989863798560994,4.8275517240843975,1.2677513935022855,0.00013902930739606895
PbNaF3,0.0,149.22,102.87,133.15,2.0,1.0,-1.0,2.33,0.93,3.98,0.7669172932330827,1.1203007518796992,-1.65,-3.05,-1.11,-2.51,1.4864864864864862,1.2151394422310755,0.3789734926611878,-3.496077730000001,-2.7445312200000007,-11.111416699999976,-3.4960778500144083,-2.7445313142150973,1.136681619020348,-0.8830451593257576,-0.7570217149871556,-4.336301480858267,6.576348032711487,5.147636303709317,19.391595983680425,103.96,175.88,40.44,140.49,260.21000000000004,37.4,56.76,845.6800000000001,143.19,1.4505686789151355,0.8082470135626434,0.8459717174754587,5.094037855837517,1.0348816623614274,0.2730802773292791
KTmI3,0.0,164.19,102.92,219.49,1.0,2.0,-1.0,0.82,1.25,2.66,0.4681818181818181,0.7454545454545454,-1.8400000000000003,-1.41,-2.62,-2.19,0.7022900763358779,0.6438356164383562,0.4651374395945626,-2.318921259999999,-3.153999099999999,-7.083940510000032,-0.7664318763103054,-1.0724057668138651,0.2908709899851069,-0.6361622968393374,0.5222435779285232,-3.4344351648747526,4.31357484707873,6.424661898518719,11.131355946143175,220.49,176.24,90.24,302.81,254.47,107.49,207.8,111.95,41.190000000000005,1.5953167508744655,0.7846488831689635,0.8414857269099302,4.548194271519774,0.9178850319842603,0.20684421692151614
KMgF3,1.0,164.19,72.45,133.15,1.0,2.0,-1.0,0.82,1.31,3.98,0.5413533834586466,1.2330827067669172,-3.16,-2.67,-2.62,-2.13,1.2061068702290076,1.2535211267605637,0.8232003088081431,-2.318921259999999,-4.705333049999998,-11.111416699999976,-0.7664318763103054,-1.3065628048520797,1.136681619020348,-0.6361622968393374,0.500356888176296,-4.336301480858267,4.31357484707873,7.971349299642951,19.391595983680425,220.49,135.17999999999998,40.44,302.81,191.16,37.4,207.8,561.2099999999999,143.19,2.266252587991718,1.1799003425454084,1.0226248051427538,3.607866936854195,0.9839441688044781,0.9909219595731925
BaNaCl3,0.0,161.04,102.87,180.61,2.0,1.0,-1.0,0.89,0.93,3.16,0.56353591160221,0.8895027624309393,-2.27,-2.23,-2.55,-2.51,0.8901960784313726,0.8884462151394423,0.456431551700192,-3.22934977,-2.7445312200000007,-8.594666479999974,-2.0224315294266337,-2.7445313142150973,0.0197235606770763,0.1815487042226235,-0.7570217149871556,-3.935229981089612,5.363406047114364,5.147636303709317,13.876021229339663,219.67,175.88,67.85000000000001,266.14000000000004,260.21000000000004,75.67,131.01,845.6800000000001,224.95,1.5654709827938174,0.8722345975239738,0.852206999916399,4.741509158946377,0.8538854872810457,0.5013487322241864
CsBaCl3,0.0,188.28,134.51,180.61,1.0,2.0,-1.0,0.79,0.89,3.16,0.7458563535911602,1.0386740331491713,-2.37,-2.27,-2.65,-2.55,0.8943396226415095,0.8901960784313726,0.3311671843915196,-2.0859241200000014,-3.22934977,-8.594666479999974,-0.4792429764515966,-2.0224315294266337,0.0197235606770763,-0.5452966317296846,0.1815487042226235,-3.935229981089612,3.8635765556284616,5.363406047114364,13.876021229339663,253.57,219.67,67.85000000000001,319.04,266.14000000000004,75.67,202.25,131.01,224.95,1.3997472306891683,0.5991079297096551,0.8277649072590321,4.505026664920714,0.8316178567068339,0.014411720803888035
CsVI3,0.0,188.28,79.35,219.49,1.0,2.0,-1.0,0.79,1.63,2.66,0.359090909090909,0.8545454545454544,-1.87,-1.0300000000000002,-2.65,-1.81,0.7056603773584906,0.5690607734806631,0.8669941103629276,-2.0859241200000014,-4.348428499999998,-7.083940510000032,-0.4792429764515966,-4.348428649274164,0.2908709899851069,-0.5452966317296846,-0.78074486180114,-3.4344351648747526,3.8635765556284616,7.169663669121636,11.131355946143175,253.57,148.18,90.24,319.04,205.66,107.49,202.25,47.59,41.190000000000005,2.372778827977316,0.5706407147716974,0.9648563059854989,4.512175026627434,1.1964642384572697,0.009315445625938626
BaTaS3,0.0,161.04,68.04,184.4,2.0,4.0,-2.0,0.89,1.5,2.58,0.3695652173913044,0.875,-1.69,-1.08,-2.55,-1.94,0.6627450980392157,0.5567010309278351,0.8618966598083562,-3.22934977,-3.5963150900000027,-7.00838179000003,-2.0224315294266337,-3.5963152134553904,0.8145175879610062,0.1815487042226235,-0.2825051047029557,-2.847077729734469,5.363406047114364,7.686524689847838,11.769320157021456,219.67,146.65,74.72999999999999,266.14000000000004,204.33,84.92999999999999,131.01,83.7,273.21,2.3668430335096997,0.6079418852245853,0.9676104491669778,4.204509215596274,1.1519272398833889,0.0164942586100849
CsMgCl3,0.0,188.28,72.45,180.61,1.0,2.0,-1.0,0.79,1.31,3.16,0.3977900552486187,1.0386740331491713,-2.37,-1.85,-2.65,-2.13,0.8943396226415095,0.8685446009389672,0.959775843813894,-2.0859241200000014,-4.705333049999998,-8.594666479999974,-0.4792429764515966,-1.3065628048520797,0.0197235606770763,-0.5452966317296846,0.500356888176296,-3.935229981089612,3.8635765556284616,7.971349299642951,13.876021229339663,253.57,135.17999999999998,67.85000000000001,319.04,191.16,75.67,202.25,561.2099999999999,224.95,2.598757763975155,0.7441663243183051,1.030764552183143,4.214008378824046,1.0613773658084087,0.1221865306139535
CuZnCl3,0.0,97.34,74.34,180.61,1.0,2.0,-1.0,1.9,1.65,3.16,0.4088397790055249,0.425414364640884,-1.2600000000000002,-1.5100000000000002,-1.54,-1.79,0.8181818181818183,0.8435754189944136,0.0397403286495141,-4.608164319999999,-5.977182470000003,-8.594666479999974,-0.6024405606807606,-1.1074028380152596,0.0197235606770763,-1.5474569751238811,0.922398193658712,-3.935229981089612,8.147436993683963,9.889346728482574,13.876021229339663,120.22,110.68,67.85000000000001,203.02,166.61,75.67,31.9,29.97,224.95,1.3093892924401398,-6.251303349145173,0.7708994897542613,6.287003827207345,0.7476936050536513,2.2400303389829692e-46
RbMgI3,0.0,172.2,72.45,219.49,1.0,2.0,-1.0,0.82,1.31,2.66,0.3272727272727272,0.7818181818181817,-1.8400000000000003,-1.35,-2.62,-2.13,0.7022900763358779,0.6338028169014085,0.8708283577973978,-2.23129531,-4.705333049999998,-7.083940510000032,-0.6626547127478113,-1.3065628048520797,0.2908709899851069,-0.5654554674099543,0.500356888176296,-3.4344351648747526,4.153592876586776,7.971349299642951,11.131355946143175,231.42,135.17999999999998,90.24,324.0,191.16,107.49,240.1,561.2099999999999,41.190000000000005,2.3768115942028984,0.4553006715313863,0.9487132725822944,4.774884827277068,1.051229024004673,0.001575364677952425
SnZrS3,0.0,115.87,72.07,184.4,2.0,4.0,-2.0,1.96,1.33,2.58,0.3913043478260869,0.6249999999999999,-0.6200000000000001,-1.25,-1.48,-2.11,0.4189189189189189,0.5924170616113744,0.4682660093471947,-3.6934392700000016,-3.6022224400000007,-7.00838179000003,-3.693439396789498,-3.602222563658176,0.8145175879610062,-1.0130803347838755,-0.2714066713124998,-2.847077729734469,6.875250052003975,7.139550537079975,11.769320157021456,106.59,166.94,74.72999999999999,135.54,222.0,84.92999999999999,46.940000000000005,84.44,273.21,1.6077424725960874,0.7048073153649053,0.8278687098885502,5.330474845648817,0.5854150520411899,0.07021742478283594
CeYbS3,0.0,133.42,86.89,184.4,3.0,3.0,-2.0,1.12,1.1,2.58,0.4717391304347826,0.7282608695652174,-1.46,-1.48,-2.32,-2.34,0.6293103448275862,0.6324786324786326,0.4342331782846069,-2.5303330600000007,-3.076992080000003,-7.00838179000003,-2.5303331468620374,-1.0944533775707237,0.8145175879610062,0.0869328039854952,0.4767999173605045,-2.847077729734469,5.700526061695872,6.531525574217345,11.769320157021456,204.28,173.83,74.72999999999999,257.54,248.9,84.92999999999999,118.68,112.51,273.21,1.535504661065715,0.7700893344228927,0.8283874941753955,3.8635462840110266,0.8242378364110032,0.1722655847421172
RbDyI3,1.0,172.2,107.52,219.49,1.0,2.0,-1.0,0.82,1.22,2.66,0.4863636363636363,0.7818181818181817,-1.8400000000000003,-1.4400000000000002,-2.62,-2.22,0.7022900763358779,0.6486486486486487,0.4746656423515468,-2.23129531,-3.164901719999999,-7.083940510000032,-0.6626547127478113,-1.1732693202763391,0.2908709899851069,-0.5654554674099543,0.4711191951556382,-3.4344351648747526,4.153592876586776,6.187951074411365,11.131355946143175,231.42,28.52,90.24,324.0,256.01,107.49,240.1,111.98,41.190000000000005,1.6015625,0.8094706514438865,0.8469690614894805,4.441879110009722,0.9170110322233436,0.2768483510902103
CsHgF3,1.0,188.28,103.04,133.15,1.0,2.0,-1.0,0.79,2.0,3.98,0.7669172932330827,1.413533834586466,-3.19,-1.98,-2.65,-1.44,1.2037735849056603,1.375,0.6114691495456782,-2.0859241200000014,-6.807995810000004,-11.111416699999976,-0.4792429764515966,-0.952083492683411,1.136681619020348,-0.5452966317296846,1.3885838835805904,-4.336301480858267,3.8635765556284616,10.679763451594113,19.391595983680425,253.57,116.75,40.44,319.04,173.51,37.4,202.25,61.58,143.19,1.827251552795031,1.4532685486655232,0.962301135547763,3.3234247867518194,0.842467409234268,0.9998548024555808
BaLiBr3,0.0,161.04,75.66,195.56,2.0,1.0,-1.0,0.89,0.98,2.96,0.3877551020408163,0.8214285714285715,-2.07,-1.98,-2.55,-2.46,0.8117647058823529,0.8048780487804879,0.7506710246981321,-3.22934977,-2.8741409099999977,-7.858438990000018,-2.0224315294266337,-1.0207578250408813,0.0551102718918419,0.1815487042226235,-0.7561139179561087,-3.6781509272527466,5.363406047114364,5.297381732850112,12.554312316976,219.67,165.76,75.14,266.14000000000004,201.34,88.34,131.01,674.19,22.81,2.1284694686756542,0.6624292405881427,0.9297061918141939,4.220041636760847,0.9376608971987002,0.037617699031237524
SrTiS3,0.0,144.48,60.28,184.4,2.0,4.0,-2.0,0.95,1.54,2.58,0.3288043478260869,0.7826086956521738,-1.63,-1.04,-2.49,-1.9,0.6546184738955823,0.5473684210526316,0.8671699345392049,-3.5257832000000016,-4.219539480000003,-7.00838179000003,-1.2811882639810177,-4.219539624849625,0.8145175879610062,0.150586057166743,-0.3138992857783973,-2.847077729734469,5.884929518021573,7.119307230391988,11.769320157021456,195.84,154.67,74.72999999999999,254.93,206.03,84.92999999999999,111.21,51.94,273.21,2.3968148639681486,0.4613983244480156,0.9504408369901058,4.5428770295737335,1.1366679302434188,0.001730709219029799
TlEuCl3,0.0,169.89,116.27,180.61,1.0,2.0,-1.0,1.62,1.2,3.16,0.6464088397790054,0.9392265193370164,-1.54,-1.96,-1.82,-2.24,0.8461538461538461,0.8749999999999999,0.3736245022525056,-2.36925177,-2.76744646,-8.594666479999974,-2.3692518513323906,-2.76744655500174,0.0197235606770763,-0.1395649868243635,0.4802925635161391,-3.935229981089612,5.166986943295928,6.002313428086848,13.876021229339663,109.74,31.35,67.85000000000001,154.46,267.74,75.67,59.04,114.02,224.95,1.4611679711017458,0.7592296138411965,0.8348206383499812,4.406291465142805,0.807299078843938,0.14955633433157162
KBeCl3,0.0,164.19,44.95,180.61,1.0,2.0,-1.0,0.82,1.57,3.16,0.2486187845303867,0.9060773480662982,-2.3400000000000003,-1.59,-2.62,-1.87,0.8931297709923665,0.8502673796791443,1.2932039380538785,-2.318921259999999,-5.60966653,-8.594666479999974,-0.7664318763103054,-2.01377753912956,0.0197235606770763,-0.6361622968393374,0.6486211812660797,-3.935229981089612,4.31357484707873,9.553745681963834,13.876021229339663,220.49,108.05,67.85000000000001,302.81,120.4,75.67,207.8,289.74,224.95,3.6527252502780865,0.06957769281303061,1.0809143124126186,5.837626256952056,1.1354037275565645,4.237765113791071e-06
CsMnF3,0.0,188.28,82.83,133.15,1.0,2.0,-1.0,0.79,1.55,3.98,0.6240601503759398,1.413533834586466,-3.19,-2.43,-2.65,-1.89,1.2037735849056603,1.2857142857142858,0.8176013550333515,-2.0859241200000014,-4.411136790000002,-11.111416699999976,-0.4792429764515966,-0.936468712147378,1.136681619020348,-0.5452966317296846,-1.152247272554489,-4.336301480858267,3.8635765556284616,7.312724883033412,19.391595983680425,253.57,40.830000000000005,40.44,319.04,205.42,37.4,202.25,137.51,143.19,2.2730894603404566,1.4475650185646318,1.0523470006714795,3.3757215150235096,0.9852791834379091,0.999841742415509
CsVCl3,0.0,188.28,79.35,180.61,1.0,2.0,-1.0,0.79,1.63,3.16,0.43646408839779,1.0386740331491713,-2.37,-1.5300000000000002,-2.65,-1.81,0.8943396226415095,0.845303867403315,0.8669941103629276,-2.0859241200000014,-4.348428499999998,-8.594666479999974,-0.4792429764515966,-4.348428649274164,0.0197235606770763,-0.5452966317296846,-0.78074486180114,-3.935229981089612,3.8635765556284616,7.169663669121636,13.876021229339663,253.57,148.18,67.85000000000001,319.04,205.66,75.67,202.25,47.59,224.95,2.372778827977316,0.8496548443944429,1.0034054376652797,4.0221939302191165,1.0616126047484895,0.41555452026521394
RbVF3,1.0,172.2,79.35,133.15,1.0,2.0,-1.0,0.82,1.63,3.98,0.5939849624060151,1.2932330827067668,-3.16,-2.35,-2.62,-1.81,1.2061068702290076,1.298342541436464,0.7780466243464316,-2.23129531,-4.348428499999998,-11.111416699999976,-0.6626547127478113,-4.348428649274164,1.136681619020348,-0.5654554674099543,-0.78074486180114,-4.336301480858267,4.153592876586776,7.169663669121636,19.391595983680425,231.42,148.18,40.44,324.0,205.66,37.4,240.1,47.59,143.19,2.170132325141777,1.2959573050211988,1.0160734095152688,3.4789452313089253,0.9438904455194953,0.9984315196462265
SnTaS3,0.0,115.87,68.04,184.4,2.0,4.0,-2.0,1.96,1.5,2.58,0.3695652173913044,0.6249999999999999,-0.6200000000000001,-1.08,-1.48,-1.94,0.4189189189189189,0.5567010309278351,0.5254244231871432,-3.6934392700000016,-3.5963150900000027,-7.00838179000003,-3.693439396789498,-3.5963152134553904,0.8145175879610062,-1.0130803347838755,-0.2825051047029557,-2.847077729734469,6.875250052003975,7.686524689847838,11.769320157021456,106.59,146.65,74.72999999999999,135.54,204.33,84.92999999999999,46.940000000000005,83.7,273.21,1.7029688418577307,0.6647593653105407,0.8410849628629239,5.1078221511295006,0.6329185393715745,0.038950614612640024
EuZrSe3,0.0,143.72,72.07,198.14,2.0,4.0,-2.0,1.2,1.33,2.55,0.3636363636363636,0.6818181818181819,-1.35,-1.2199999999999998,-2.24,-2.11,0.6026785714285714,0.5781990521327013,0.6286086594223741,-2.76744646,-3.6022224400000007,-6.510488250000024,-2.76744655500174,-3.602222563658176,-0.2111875472497096,0.4802925635161391,-0.2714066713124998,-2.730814399751447,6.002313428086848,7.139550537079975,10.84576444731508,31.35,166.94,79.97,267.74,222.0,95.78,114.02,84.44,23.97,1.9941723324545582,0.6207959502857199,0.8946083902683104,4.527562696728118,0.9324838991800655,0.020063519172023148
RbCuF3,1.0,172.2,72.62,133.15,1.0,2.0,-1.0,0.82,1.9,3.98,0.5488721804511277,1.2932330827067668,-3.16,-2.08,-2.62,-1.54,1.2061068702290076,1.3506493506493509,0.857035035665062,-2.23129531,-4.608164319999999,-11.111416699999976,-0.6626547127478113,-0.6024405606807606,1.136681619020348,-0.5654554674099543,-1.5474569751238811,-4.336301480858267,4.153592876586776,8.147436993683963,19.391595983680425,231.42,120.22,40.44,324.0,203.02,37.4,240.1,31.9,143.19,2.371247590195538,1.243276171044513,1.049305532983402,3.5798720774139925,0.9370119725687072,0.9965167093281145
AgCaCl3,0.0,152.13,99.98,180.61,1.0,2.0,-1.0,1.93,1.0,3.16,0.5524861878453039,0.7071823204419889,-1.2300000000000002,-2.16,-1.51,-2.44,0.8145695364238412,0.8852459016393444,0.2468600779315258,-4.402160580000001,-3.766160950000002,-8.594666479999974,-0.2462930884548233,-1.9458476867976409,0.0197235606770763,-1.4755869046631138,0.1499954621481116,-3.935229981089612,7.75596378025508,6.309260154585895,13.876021229339663,132.41000000000005,179.84,67.85000000000001,190.44,231.02,75.67,54.86,67.61,224.95,1.5216043208641727,0.3283841398141665,0.8385306070976035,4.431354757926681,0.7715839029989354,0.0002230137307005426
KNiF3,1.0,164.19,69.57,133.15,1.0,2.0,-1.0,0.82,1.91,3.98,0.5187969924812029,1.2330827067669172,-3.16,-2.0700000000000003,-2.62,-1.53,1.2061068702290076,1.3529411764705883,0.865759923226939,-2.318921259999999,-4.439555410000002,-11.111416699999976,-0.7664318763103054,-4.4395555624023935,1.136681619020348,-0.6361622968393374,-1.3513871613897686,-4.336301480858267,4.31357484707873,7.898771670150475,19.391595983680425,220.49,125.17,40.44,302.81,156.73999999999998,37.4,207.8,33.809999999999995,143.19,2.3600689952565763,1.1453142605452955,1.0371530186333378,3.66234980668467,0.9245911078822253,0.9847297222712682
CsTiBr3,0.0,188.28,85.67,195.56,1.0,2.0,-1.0,0.79,1.54,2.96,0.4387755102040816,0.9591836734693876,-2.17,-1.42,-2.65,-1.9,0.8188679245283019,0.7473684210526316,0.7820946665764414,-2.0859241200000014,-4.219539480000003,-7.858438990000018,-0.4792429764515966,-4.219539624849625,0.0551102718918419,-0.5452966317296846,-0.3138992857783973,-3.6781509272527466,3.8635765556284616,7.119307230391988,12.554312316976,253.57,154.67,75.14,319.04,206.03,88.34,202.25,51.94,22.81,2.1977354966732814,0.8210260824410538,0.9651052540021016,4.073744883534195,1.0574352809595176,0.31393371582685686
CdCuI3,0.0,131.4,77.48,219.49,2.0,1.0,-1.0,1.69,1.9,2.66,0.35,0.5954545454545455,-0.9700000000000002,-0.7600000000000002,-1.75,-1.54,0.5542857142857144,0.4935064935064936,0.5313919013474677,-5.657022910000005,-4.608164319999999,-7.083940510000032,-1.1571185497219154,-0.6024405606807606,0.2908709899851069,0.9482623915387752,-1.5474569751238811,-3.4344351648747526,9.27193000127873,8.147436993683963,11.131355946143175,123.55,120.22,90.24,179.66,203.02,107.49,51.92,31.9,41.190000000000005,1.6959215281362932,0.6331250764604245,0.8354962570383192,5.254053556573659,0.9383942171156702,0.02419427852621191
LaYbS3,1.0,136.19,86.89,184.4,3.0,3.0,-2.0,1.1,1.1,2.58,0.4717391304347826,0.7391304347826088,-1.48,-1.48,-2.34,-2.34,0.6324786324786326,0.6324786324786326,0.4490482640697475,-2.778124050000001,-3.076992080000003,-7.00838179000003,-2.7781241453682792,-1.0944533775707237,0.8145175879610062,-0.2216918666232401,0.4767999173605045,-2.847077729734469,5.8114999284947535,6.531525574217345,11.769320157021456,205.43,173.83,74.72999999999999,267.61,248.9,84.92999999999999,119.73,112.51,273.21,1.5673840487973298,0.779306491148864,0.8356074090922222,3.5852147036777255,0.8356074090922223,0.19359727413295538
CuTaS3,0.0,97.34,63.9,184.4,1.0,5.0,-2.0,1.9,1.5,2.58,0.3478260869565217,0.4184782608695652,-0.6800000000000002,-1.08,-1.54,-1.94,0.4415584415584416,0.5567010309278351,0.184922338494012,-4.608164319999999,-3.5963150900000027,-7.00838179000003,-0.6024405606807606,-3.5963152134553904,0.8145175879610062,-1.5474569751238811,-0.2825051047029557,-2.847077729734469,8.147436993683963,7.686524689847838,11.769320157021456,120.22,146.65,74.72999999999999,203.02,204.33,84.92999999999999,31.9,83.7,273.21,1.5233176838810643,0.45892290715450024,0.8023389704561413,5.505030914161855,0.6363910352487624,0.0016658779195769544
CsPbCl3,1.0,188.28,118.46,180.61,1.0,2.0,-1.0,0.79,2.33,3.16,0.6574585635359116,1.0386740331491713,-2.37,-0.8300000000000001,-2.65,-1.11,0.8943396226415095,0.7477477477477478,0.4573184697184198,-2.0859241200000014,-3.496077730000001,-8.594666479999974,-0.4792429764515966,-3.4960778500144083,0.0197235606770763,-0.5452966317296846,-0.8830451593257576,-3.935229981089612,3.8635765556284616,6.576348032711487,13.876021229339663,253.57,103.96,67.85000000000001,319.04,140.49,75.67,202.25,56.76,224.95,1.5893972648995442,0.9647665217270147,0.8721880415135793,3.9548440695169784,1.0431757584950094,0.8049399827631688
KCoI3,0.0,164.19,74.25,219.49,1.0,2.0,-1.0,0.82,1.88,2.66,0.3386363636363636,0.7454545454545454,-1.8400000000000003,-0.7800000000000002,-2.62,-1.56,0.7022900763358779,0.5000000000000001,0.7890673024386846,-2.318921259999999,-4.433222810000001,-7.083940510000032,-0.7664318763103054,0.1435549649279978,0.2908709899851069,-0.6361622968393374,-1.3590473276566433,-3.4344351648747526,4.31357484707873,7.672566418386976,11.131355946143175,220.49,128.78,90.24,302.81,161.4,107.49,207.8,35.82,41.190000000000005,2.211313131313131,0.5095851449974621,0.9236175298326091,4.742574497640634,1.297294851062596,0.0036389435532482857
